<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;W;29/06/15;000000;0.07584;98789860000
ВТБ ао;W;06/07/15;000000;0.0752;87806470000
ВТБ ао;W;13/07/15;000000;0.07401;69942280000
ВТБ ао;W;20/07/15;000000;0.0719;55224340000
ВТБ ао;W;27/07/15;000000;0.072;79803230000
ВТБ ао;W;03/08/15;000000;0.07081;85218400000
ВТБ ао;W;10/08/15;000000;0.07042;57337230000
ВТБ ао;W;17/08/15;000000;0.0687;57255290000
ВТБ ао;W;24/08/15;000000;0.06965;89916440000
ВТБ ао;W;31/08/15;000000;0.0675;70987420000
ВТБ ао;W;07/09/15;000000;0.0697;58742270000
ВТБ ао;W;14/09/15;000000;0.06798;69219550000
ВТБ ао;W;21/09/15;000000;0.06747;69041580000
ВТБ ао;W;28/09/15;000000;0.067;39814500000
ВТБ ао;W;05/10/15;000000;0.076;127559460000
ВТБ ао;W;12/10/15;000000;0.0754;95402430000
ВТБ ао;W;19/10/15;000000;0.07475;86661600000
ВТБ ао;W;26/10/15;000000;0.07235;85952120000
ВТБ ао;W;02/11/15;000000;0.07585;65541320000
ВТБ ао;W;09/11/15;000000;0.0758;48970650000
ВТБ ао;W;16/11/15;000000;0.07601;88567990000
ВТБ ао;W;23/11/15;000000;0.07271;72578860000
ВТБ ао;W;30/11/15;000000;0.0723;61521830000
ВТБ ао;W;07/12/15;000000;0.0757;72952860000
ВТБ ао;W;14/12/15;000000;0.0752;92849220000
ВТБ ао;W;21/12/15;000000;0.0771;38398260000
ВТБ ао;W;28/12/15;000000;0.0797;101329360000
ВТБ ао;W;04/01/16;000000;0.07517;30633400000
ВТБ ао;W;11/01/16;000000;0.0695;103397700000
ВТБ ао;W;18/01/16;000000;0.0696;156049470000
ВТБ ао;W;25/01/16;000000;0.0737;103433660000
ВТБ ао;W;01/02/16;000000;0.07115;76747820000
ВТБ ао;W;08/02/16;000000;0.0693;74580640000
ВТБ ао;W;15/02/16;000000;0.07231;76581010000
ВТБ ао;W;22/02/16;000000;0.07198;44004510000
ВТБ ао;W;29/02/16;000000;0.0745;63919320000
ВТБ ао;W;07/03/16;000000;0.0765;51302920000
ВТБ ао;W;14/03/16;000000;0.07756;79453610000
ВТБ ао;W;21/03/16;000000;0.07367;58505380000
ВТБ ао;W;28/03/16;000000;0.0745;80693730000
ВТБ ао;W;04/04/16;000000;0.07465;52207610000
ВТБ ао;W;11/04/16;000000;0.07527;97910240000
ВТБ ао;W;18/04/16;000000;0.072;109745420000
ВТБ ао;W;25/04/16;000000;0.07005;73950220000
ВТБ ао;W;02/05/16;000000;0.069;69179270000
ВТБ ао;W;09/05/16;000000;0.0688;64417490000
ВТБ ао;W;16/05/16;000000;0.0685;61227170000
ВТБ ао;W;23/05/16;000000;0.06922;57961070000
ВТБ ао;W;30/05/16;000000;0.0684;53704720000
ВТБ ао;W;06/06/16;000000;0.0728;93517030000
ВТБ ао;W;13/06/16;000000;0.069;77345890000
ВТБ ао;W;20/06/16;000000;0.06878;42894940000
ВТБ ао;W;27/06/16;000000;0.06735;43610530000
ВТБ ао;W;04/07/16;000000;0.06819;35740150000
ВТБ ао;W;11/07/16;000000;0.06832;40954020000
ВТБ ао;W;18/07/16;000000;0.06711;40842460000
ВТБ ао;W;25/07/16;000000;0.06741;28369770000
ВТБ ао;W;01/08/16;000000;0.06762;42835100000
